name,lat,lon,住所,URL,備考
向山校区市民館,34.75867358,137.4042906,愛知県豊橋市向山西町5-1
向山台町公園,34.75865518,137.4007172,愛知県豊橋市向山台町
向山大池町公園,34.756627,137.4023589,愛知県豊橋市向山大池町
向山緑地,34.75516405,137.4044026,愛知県豊橋市向山町
豊橋商業高等学校,34.75705039,137.3996926,愛知県豊橋市向山町官有地
豊橋商業高等学校（グラウンド）,34.75653473,137.3994298,愛知県豊橋市向山町官有地
豊橋東高等学校,34.75456617,137.4087598,愛知県豊橋市向山町字西猿22
豊橋東高等学校（グラウンド）,34.75386067,137.4085809,愛知県豊橋市向山町字西猿22
向山東町公園,34.7529596,137.4054051,愛知県豊橋市向山東町
高師緑地,34.72834034,137.384471,愛知県豊橋市高師町
高師老人福祉センター,34.72699578,137.3830018,愛知県豊橋市高師町字北原1
東上紫雲庵池公園,34.71955191,137.3949773,愛知県豊橋市高師本郷町
本郷中学校,34.71540185,137.3963284,愛知県豊橋市高師本郷町字竹の内90-1
本郷中学校（グラウンド）,34.71554472,137.3973908,愛知県豊橋市高師本郷町字竹ノ内90-1
吉田方地区市民館（２階）,34.77163997,137.353085,愛知県豊橋市高洲町字高洲122-7
吉田方地区市民館,34.77171803,137.3530872,愛知県豊橋市高洲町字高洲122-7
総合ビル（３階以上廊下等）,34.77100624,137.355067,愛知県豊橋市高洲町字高洲41
吉田方排水機場（屋上）,34.77040469,137.3426336,愛知県豊橋市高洲町字大江60-2
吉田方中学校（校舎３階廊下）,34.77009486,137.3508071,愛知県豊橋市高洲町字長弦73-1
吉田方中学校,34.7698727,137.3506645,愛知県豊橋市高洲町字長弦73-1
豊橋公園,34.77008817,137.3956039,愛知県豊橋市今橋町
豊城地区市民館,34.77035,137.399251,愛知県豊橋市今橋町16
豊城中学校（グラウンド）,34.77015241,137.3918572,愛知県豊橋市今橋町2-1
豊城中学校,34.76991739,137.3918733,愛知県豊橋市今橋町2-1
平子公園,34.74835756,137.404786,愛知県豊橋市佐藤1
古伝公園,34.74629145,137.4061307,愛知県豊橋市佐藤2
北島公園,34.74376247,137.4109826,愛知県豊橋市佐藤3
山崎公園,34.74338777,137.4095319,愛知県豊橋市佐藤3
一本木公園,34.74080402,137.4066514,愛知県豊橋市佐藤4
佐藤公園,34.74348725,137.4048866,愛知県豊橋市佐藤5
つつじが丘校区市民館,34.743156,137.403352,愛知県豊橋市佐藤5-16-1
つつじが丘小学校（グラウンド）,34.74359678,137.4038065,愛知県豊橋市佐藤5-16-1
つつじが丘小学校,34.74324855,137.4039299,愛知県豊橋市佐藤5-16-1
幸公園,34.73902528,137.409339,愛知県豊橋市佐藤町
五並地区市民館,34.687595,137.464308,愛知県豊橋市細谷町字上大附98-9
細谷小学校,34.68642468,137.4683954,愛知県豊橋市細谷町字中ノ島47-1
細谷小学校（グラウンド）,34.68599809,137.4683199,愛知県豊橋市細谷町字中ノ島47-1
細谷校区市民館,34.686323,137.468966,愛知県豊橋市細谷町字中ノ島54-1
五並中学校（グラウンド）,34.68407734,137.4528247,愛知県豊橋市細谷町字北芋ケ谷30-44
五並中学校,34.68402532,137.4538766,愛知県豊橋市細谷町字北芋ケ谷30-44
三ツ相ポンプ場（屋上）,34.77614464,137.3666392,愛知県豊橋市三ツ相町38
三ノ輪中央公園,34.75296118,137.4098619,愛知県豊橋市三ノ輪町4
三本木中央公園,34.72608264,137.3929717,愛知県豊橋市三本木町
豊美第一公園,34.68842091,137.400106,愛知県豊橋市若松町
中部中学校,34.763403,137.39962,愛知県豊橋市舟原町154
中部中学校（グラウンド）,34.76312031,137.3993293,愛知県豊橋市舟原町154
春日公園,34.75581642,137.4148621,愛知県豊橋市春日町1
北春日公園,34.75914687,137.4164052,愛知県豊橋市春日町2
曙公園,34.72611944,137.4001226,愛知県豊橋市曙町
若松中央公園,34.719945,137.393639,愛知県豊橋市曙町
ナチュールフジ（３階以上廊下等）,34.767376,137.362203,愛知県豊橋市小向町字北小向134-1
サンフォレストＢ棟（３階廊下等）,34.76865871,137.3602394,愛知県豊橋市小向町字北小向39-1
サンフォレストＡ棟（３階廊下等）,34.76893633,137.3602394,愛知県豊橋市小向町字北小向39-2
小沢校区市民館,34.68057906,137.4414466,愛知県豊橋市小島町字荒巻81-1
小沢小学校（グラウンド）,34.68031438,137.4418864,愛知県豊橋市小島町字荒巻81-1
小沢小学校,34.68074523,137.4420045,愛知県豊橋市小島町字荒巻81-1
小畷公園,34.75817653,137.3972012,愛知県豊橋市小畷町
高師小学校（グラウンド）,34.7212268,137.3921405,愛知県豊橋市上野町字上原100
高師小学校,34.72051385,137.3921705,愛知県豊橋市上野町字上原100
高師校区市民館,34.720278,137.392745,愛知県豊橋市上野町字上原99-10
蛤沢公園,34.70574732,137.3683288,愛知県豊橋市植田町
植田公園,34.70088936,137.3665217,愛知県豊橋市植田町
植田校区市民館,34.710831,137.367073,愛知県豊橋市植田町字池下63-1
植田小学校,34.71144327,137.3678611,愛知県豊橋市植田町字池堀田15
植田小学校（グラウンド）,34.7110464,137.3677216,愛知県豊橋市植田町字池堀田15
南稜中学校（グラウンド）,34.70960382,137.3691133,愛知県豊橋市植田町字的場50
南稜中学校,34.70982872,137.3695264,愛知県豊橋市植田町字的場50
グランコート新栄（３階以上廊下等）,34.76123114,137.363669,愛知県豊橋市新栄町字一本木5-3
メゾン・エスペランス（３階以上廊下等）,34.7654782,137.3623261,愛知県豊橋市新栄町字南小向151
サンフジ（３階以上廊下等）,34.76650054,137.3601117,愛知県豊橋市新栄町字南小向27
石巻中野公園,34.78783111,137.4264006,愛知県豊橋市森岡町
ライフポートとよはし（屋上）,34.73268924,137.3348526,愛知県豊橋市神野ふ頭町3-22
牟呂中学校,34.74933267,137.3511711,愛知県豊橋市神野新田町字イノ割1-3
牟呂中学校（校舎３階廊下）,34.74942964,137.351332,愛知県豊橋市神野新田町字イノ割1-3
三郷地区津波防災センター（屋上）,34.74074175,137.3525304,愛知県豊橋市神野新田町字ハノ割18
平成荘（３階以上廊下等）,34.73592114,137.3474756,愛知県豊橋市神野新田町字ヘノ割33-1
ホテルシーパレスリゾート（３階以上廊下等）,34.76084875,137.3227044,愛知県豊橋市神野新田町字ミノ割1-3
ボヌール（３階廊下等）,34.74275488,137.3462377,愛知県豊橋市神野新田町字ヨノ割91-1
おかだ家ベイサイド（屋上）,34.72691283,137.3532437,愛知県豊橋市神野新田町字沖ノ島176-1
大口公園,34.76991764,137.4146392,愛知県豊橋市仁連木町
仁連木老人福祉センター,34.76958041,137.4153582,愛知県豊橋市仁連木町136-2
東田小学校,34.76926954,137.4117596,愛知県豊橋市仁連木町15
東田校区市民館,34.77009487,137.4125906,愛知県豊橋市仁連木町15
東田小学校（グラウンド）,34.76956167,137.4117967,愛知県豊橋市仁連木町15
嵩山小学校（グラウンド）,34.80002377,137.4723258,愛知県豊橋市嵩山町字宮下78-1
嵩山小学校,34.800523,137.4724706,愛知県豊橋市嵩山町字宮下78-1
嵩山校区市民館,34.80080099,137.4728238,愛知県豊橋市嵩山町字宮下83-1
西南代公園,34.67622719,137.316782,愛知県豊橋市杉山町
知原小公園,34.67090952,137.3217718,愛知県豊橋市杉山町
知原公園,34.67080509,137.3234872,愛知県豊橋市杉山町
神吉下公園,34.67467117,137.3128102,愛知県豊橋市杉山町
西林公園,34.67378667,137.3158493,愛知県豊橋市杉山町
杉山小学校,34.67647502,137.3246174,愛知県豊橋市杉山町字御園9-4
杉山小学校（グラウンド）,34.67629562,137.3243277,愛知県豊橋市杉山町字御園9-4
杉山地区市民館,34.67793515,137.3244659,愛知県豊橋市杉山町字孝仁11
天津地区津波防災センター（屋上）,34.690238,137.325582,愛知県豊橋市杉山町字天津179-1
花田公園,34.75999991,137.3741978,愛知県豊橋市西羽田町
花田校区市民館,34.76072663,137.3739027,愛知県豊橋市西羽田町247
花田小学校（グラウンド）,34.76046605,137.374503,愛知県豊橋市西羽田町247
花田小学校,34.76085319,137.3743332,愛知県豊橋市西羽田町247
羽田中学校（グラウンド）,34.75900495,137.3710726,愛知県豊橋市西羽田町43-1
羽田中学校,34.75960065,137.3708173,愛知県豊橋市西羽田町43-1
田尻前公園,34.75238693,137.4181973,愛知県豊橋市西岩田2
横手公園,34.75061115,137.4180808,愛知県豊橋市西岩田3
西ノ山公園,34.75458017,137.4197334,愛知県豊橋市西岩田4
豊岡地区市民館,34.754685,137.4192655,愛知県豊橋市西岩田4-2-9
豊小学校（グラウンド）,34.75181771,137.4212766,愛知県豊橋市西岩田5-6-1
豊小学校,34.75179806,137.4202041,愛知県豊橋市西岩田5-6-1
豊校区市民館,34.75222789,137.42185,愛知県豊橋市西岩田5-6-2
切替公園,34.7502858,137.4211632,愛知県豊橋市西岩田6
岩西小学校（グラウンド）,34.739041,137.4183282,愛知県豊橋市西口町字西ノ口25-4
岩西小学校,34.739212,137.418842,愛知県豊橋市西口町字西ノ口25-4
笠松北公園,34.73179055,137.4051277,愛知県豊橋市西幸町
浜池公園,34.72083953,137.4105054,愛知県豊橋市西幸町
幸小学校,34.73117198,137.4075401,愛知県豊橋市西幸町字笠松183
幸小学校（グラウンド）,34.73141537,137.4082753,愛知県豊橋市西幸町字笠松183
